Date,game_id,game_pk,pitcher_name,retroID_pitcher,fangraphsID_pitcher,mlbID_pitcher,brefID_pitcher,fgTeam_pitcher,mlbTeam_pitcher,fgTeam_batter,mlbTeam_batter,GS,W,L,SV,HLD,IP,TBF,H,R,ER,HR,BB,SO,BABIP,ERA,FIP,xFIP,Hper9,HRper9,Kper9,BBper9,Innings,Year,balls,strikes,cluster,classified
3/28/2019,SEA201903280,566372,Marco Gonzales,gonzm005,15467,594835,gonzama02,SEA,SEA,BOS,BOS,1,1,0,0,0,5.1,27,9,4,3,0,1,4,0.409,5.06,2.28,4.89,15.19,0,6.75,1.69,5.33,2019,32,62,2,Bad Start
3/30/2019,SEA201903300,566374,Mike Leake,leakm001,10130,502190,leakemi01,SEA,SEA,BOS,BOS,1,1,0,0,0,6,27,7,2,2,0,2,7,0.389,3,1.88,4.53,10.5,0,10.5,3,6,2019,37,60,2,Bad Start
3/31/2019,SEA201903310,566375,Wade LeBlanc,leblw001,5221,453281,leblawa01,SEA,SEA,BOS,BOS,1,1,0,0,0,5.1,27,7,6,4,1,3,1,0.273,6.75,6.96,7.88,11.81,1.69,1.69,5.06,5.33,2019,34,56,2,Bad Start
4/2/2019,SEA201904020,566377,Marco Gonzales,gonzm005,15467,594835,gonzama02,SEA,SEA,LAA,LAA,1,1,0,0,0,8.1,30,4,1,1,0,1,3,0.154,1.08,2.85,5.48,4.32,0,3.24,1.08,8.33,2019,30,70,1,Good Start
4/15/2019,SEA201904150,566381,Trevor Bauer,bauet001,12703,545333,bauertr01,CLE,CLE,SEA,SEA,1,1,0,0,0,6.2,27,5,1,1,0,3,8,0.313,1.35,2.16,3.36,6.75,0,10.8,4.05,6.67,2019,44,68,1,Good Start
4/27/2019,SEA201904270,566386,Mike Leake,leakm001,10130,502190,leakemi01,SEA,SEA,TEX,TEX,1,0,1,0,0,5,28,10,9,5,2,1,4,0.381,9,7.41,5,18,3.6,7.2,1.8,5,2019,34,64,2,Bad Start
4/28/2019,SEA201904280,566387,Lance Lynn,lynnl001,2520,458681,lynnla01,TEX,TEX,SEA,SEA,1,1,0,0,0,7,27,5,1,1,0,3,9,0.333,1.29,1.93,3.92,6.43,0,11.57,3.86,7,2019,39,74,1,Good Start
4/30/2019,SEA201904300,566388,Felix Hernandez,hernf002,4772,433587,hernafe02,SEA,SEA,CHC,CHC,1,0,0,0,0,6,27,8,4,4,2,1,8,0.4,6,5.88,3.21,12,3,12,1.5,6,2019,34,62,2,Bad Start
4/30/2019,SEA201904300,566388,Cole Hamels,hamec001,4972,430935,hamelco01,CHC,CHC,SEA,SEA,1,0,0,0,0,5.1,27,6,4,2,0,3,7,0.375,3.38,2.84,3.96,10.12,0,11.81,5.06,5.33,2019,36,59,2,Bad Start
5/16/2019,SEA201905160,566392,Michael Pineda,pinem001,5372,501381,pinedmi01,MIN,MIN,SEA,SEA,1,1,0,0,0,7,27,5,3,3,3,0,6,0.118,3.86,7.5,5.62,6.43,3.86,7.71,0,7,2019,27,64,1,Good Start
